RFS,ID    ,Num,Word,Bit,Object Type,Name,Interlocking ID,Location,TDS AREA (A/B/C),JZA Input Bit Name,Simulation Bit Name,Field I/O Name,Remarks,Index No,,
ALP   ,,,1,11,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,,6
ALP   ,,,1,10,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,,7
ALP   ,,,2,8,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,,25
ALP   ,,,2,7,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,,26
ALP   ,,,3,11,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,38
ALP   ,,,3,10,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,39
ALP   ,,,3,9,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,40
ALP   ,,,3,8,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,41
ALP   ,,,3,7,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,42
ALP   ,,,3,6,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,43
ALP   ,,,3,5,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,44
ALP   ,,,3,4,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,45
ALP   ,,,3,3,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,46
ALP   ,,,3,2,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,47
ALP   ,,,3,1,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,48
ALP   ,,,3,0,Not Used,,HDB,HEIDELBERG,C,# Not Used,# Not Used,,New indication for option 3 & 4,49
ARM   ,E002AR,E002,3,1,Special Object - 100,,,,B,,,,,96
ARM   ,E224AR,E224,3,5,Special Object - 150,,,,B,,,,,92
ARM   ,E225AR,E225,3,4,Special Object - 150,,,,B,,,,,93
ARM   ,E242AR,E242,3,3,Special Object - 150,,,,B,,,,,94
ARM   ,E243AR,E243,3,2,Special Object - 150,,,,B,,,,,95
ARM   ,E602AR,E602,2,0,Special Object - 501,,,,B,,,,,81
ARM   ,E603AR,E603,3,15,Special Object - 502,,,,B,,,,,82
ARM   ,E604AR,E604,3,14,Special Object - 600,,,,B,,,,,83
ARM   ,E605AR,E605,3,0,Special Object - 601,,,,B,,,,,97
ARM   ,E742AR,E742,2,1,Special Object - 899,,,,B,,,,,80
ARM   ,FARMAR,FARM,1,15,Terminal,Bypass RCDA+,,,B,# Terminal,# Terminal,,,50
ARM   ,FARMAR,FARM,1,14,Terminal,Sect. RDCA-,,,B,# Terminal,# Terminal,,,51
ARM   ,FARMAR,FARM,1,13,Terminal,Bypass RCDB+,,,B,# Terminal,# Terminal,,,52
ARM   ,FARMAR,FARM,1,12,Terminal,Sect. RDCB-,,,B,# Terminal,# Terminal,,,53
ARM   ,S225D0,S225,1,9,Auto Signal,Clear,SYR,SOUTH YARRA,B,SD225.RGP,D225.RGP,,,56
ARM   ,S225F0,S225,2,13,Auto Signal,Clear,SYR,SOUTH YARRA,B,SF225.RGP,F225.RGP,,,68
ARM   ,S230D0,S230,1,7,Auto Signal,Clear,SYR,SOUTH YARRA,B,SD230.RGP,D230.RGP,,,58
ARM   ,S230F0,S230,2,11,Auto Signal,Clear,SYR,SOUTH YARRA,B,SF230.RGP,F230.RGP,,,70
ARM   ,S237D0,S237,1,5,Auto Signal,Clear,SYR,SOUTH YARRA,B,SD237.RGP,D237.RGP,,,60
ARM   ,S237F0,S237,2,9,Auto Signal,Clear,SYR,SOUTH YARRA,B,SF237.RGP,F237.RGP,,,72
ARM   ,S242D0,S242,1,3,Auto Signal,Clear,SYR,SOUTH YARRA,B,SD242.RGP,D242.RGP,,,62
ARM   ,S242F0,S242,2,7,Auto Signal,Clear,SYR,SOUTH YARRA,B,SF242.RGP,F242.RGP,,,74
ARM   ,S249D0,S249,1,1,Auto Signal,Clear,SYR,SOUTH YARRA,B,SD249.RGP,D249.RGP,,,64
ARM   ,S249F0,S249,2,5,Auto Signal,Clear,SYR,SOUTH YARRA,B,SF249.RGP,F249.RGP,,,76
ARM   ,S252D0,S252,2,15,Auto Signal,Clear,SYR,SOUTH YARRA,B,SD252.RGP,D252.RGP,,,66
ARM   ,S252F0,S252,2,3,Auto Signal,Clear,SYR,SOUTH YARRA,B,SF252.RGP,F252.RGP,,,78
ARM   ,T225D0,T225,1,8,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD225.TPK,D225.TPK,,,57
ARM   ,T225F0,T225,2,12,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF225.TPK,F225.TPK,,,69
